Country,ISO3c,Category,Origin,Destination,Organism,System,Product,Pressure,Value
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,milk,disturbance,22.53828238
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,milk,ghg,2586.113279
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,milk,nutrient,46.30276323
Afghanistan,AFG,feedcrop,land,land,sheep,grassland,milk,water,8779589.766
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,meat,disturbance,19.69771923
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,meat,ghg,2254.621396
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,meat,nutrient,40.25535536
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,meat,water,7688880.837
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,milk,disturbance,40.16169329
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,milk,ghg,4607.605899
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,milk,nutrient,82.47986305
Afghanistan,AFG,feedcrop,land,land,sheep,mixed,milk,water,15646333.17
Afghanistan,AFG,feedcrop,land,marine,crustaceans,aquaculture,meat,disturbance,0.760512916
Afghanistan,AFG,feedcrop,land,marine,crustaceans,aquaculture,meat,ghg,57.64210183
Afghanistan,AFG,feedcrop,land,marine,crustaceans,aquaculture,meat,nutrient,1.137860083
Afghanistan,AFG,feedcrop,land,marine,crustaceans,aquaculture,meat,water,83238.51832
Afghanistan,AFG,feedcrop,land,marine,marine-fish-general,aquaculture,meat,disturbance,0.374048346
Afghanistan,AFG,feedcrop,land,marine,marine-fish-general,aquaculture,meat,ghg,28.00556189
Afghanistan,AFG,feedcrop,land,marine,marine-fish-general,aquaculture,meat,nutrient,0.516025509
Afghanistan,AFG,feedcrop,land,marine,marine-fish-general,aquaculture,meat,water,74046.10615
Afghanistan,AFG,feedcrop,land,marine,salmon,aquaculture,meat,disturbance,0.226426637
Afghanistan,AFG,feedcrop,land,marine,salmon,aquaculture,meat,ghg,13.10642637
Afghanistan,AFG,feedcrop,land,marine,salmon,aquaculture,meat,nutrient,0.202998112
Afghanistan,AFG,feedcrop,land,marine,salmon,aquaculture,meat,water,62657.30854
Afghanistan,AFG,feedcrop,land,marine,shrimp,aquaculture,meat,disturbance,12.06717485
Afghanistan,AFG,feedcrop,land,marine,shrimp,aquaculture,meat,ghg,927.0514719
Afghanistan,AFG,feedcrop,land,marine,shrimp,aquaculture,meat,nutrient,18.13722242
Afghanistan,AFG,feedcrop,land,marine,shrimp,aquaculture,meat,water,1438888.494
Afghanistan,AFG,feedcrop,land,marine,tuna,aquaculture,meat,disturbance,0.007327589
Afghanistan,AFG,feedcrop,land,marine,tuna,aquaculture,meat,ghg,0.702666182
Afghanistan,AFG,feedcrop,land,marine,tuna,aquaculture,meat,nutrient,0.011920069
Afghanistan,AFG,feedcrop,land,marine,tuna,aquaculture,meat,water,2268.303679
Afghanistan,AFG,feedfodd,land,land,buffaloes,grassland,milk,disturbance,0
Afghanistan,AFG,feedfodd,land,land,buffaloes,grassland,milk,ghg,0
Afghanistan,AFG,feedfodd,land,land,buffaloes,grassland,milk,nutrient,0
Afghanistan,AFG,feedfodd,land,land,buffaloes,grassland,milk,water,0
Afghanistan,AFG,feedfodd,land,land,buffaloes,mixed,milk,disturbance,0.001239091
Afghanistan,AFG,feedfodd,land,land,buffaloes,mixed,milk,ghg,0.90168901
Afghanistan,AFG,feedfodd,land,land,buffaloes,mixed,milk,nutrient,0.029964322
Afghanistan,AFG,feedfodd,land,land,buffaloes,mixed,milk,water,169.5280732
Afghanistan,AFG,feedfodd,land,land,chickens,backyard,eggs&meat,disturbance,0
Afghanistan,AFG,feedfodd,land,land,chickens,backyard,eggs&meat,ghg,0
Afghanistan,AFG,feedfodd,land,land,chickens,backyard,eggs&meat,nutrient,0
Afghanistan,AFG,feedfodd,land,land,chickens,backyard,eggs&meat,water,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,eggs,disturbance,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,eggs,ghg,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,eggs,nutrient,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,eggs,water,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,meat,disturbance,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,meat,ghg,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,meat,nutrient,0
Afghanistan,AFG,feedfodd,land,land,chickens,industrial,meat,water,0
Afghanistan,AFG,feedfodd,land,land,cows,feedlot,meat,disturbance,0.00034894
Afghanistan,AFG,feedfodd,land,land,cows,feedlot,meat,ghg,0.2539244
Afghanistan,AFG,feedfodd,land,land,cows,feedlot,meat,nutrient,0.008438244
Afghanistan,AFG,feedfodd,land,land,cows,feedlot,meat,water,47.7407521
Afghanistan,AFG,feedfodd,land,land,cows,grassland,meat,disturbance,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,meat,ghg,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,meat,nutrient,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,meat,water,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,milk,disturbance,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,milk,ghg,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,milk,nutrient,0
Afghanistan,AFG,feedfodd,land,land,cows,grassland,milk,water,0
Afghanistan,AFG,feedfodd,land,land,cows,mixed,meat,disturbance,0.01581991
Afghanistan,AFG,feedfodd,land,land,cows,mixed,meat,ghg,11.51218158
Afghanistan,AFG,feedfodd,land,land,cows,mixed,meat,nutrient,0.382565055
Afghanistan,AFG,feedfodd,land,land,cows,mixed,meat,water,2164.424696
